# DIAGNOSTIC ONLY - no model change, and none proposed. GFED4.1S burned area
# sampled at every land column of the z = 24.3 equilibrium map, against
# XuSaatchi (a carbon product). Residual = model - observed, kg C m-2.
burnt_pct_bin	n_cells	model	obs	residual	MAT_C	MAP_mm
<0.05	8626	3.82	3.00	0.82	6.0	856
0.05-0.2	2111	4.31	3.17	1.14	12.3	930
0.2-1	1569	4.00	2.30	1.70	16.8	906
1-3	616	4.37	2.19	2.18	24.3	1016
>3	296	4.57	2.28	2.29	25.1	1076
#
# The model's biomass is nearly flat across all five bins (3.8-4.6) while the
# observations FALL as burning rises. The residual grows 2.8x from the least- to
# the most-burnt bin: the model is blind to fire and the error scales with it.
#
# Predictability, which is the constraint that matters for ClimaLand: burned
# area rises steeply with MAT (6.0 -> 25.1 C) while MAP barely moves
# (856 -> 1076 mm, non-monotonic). Fire is therefore NOT separable from
# temperature in this sample. That is not sufficient to justify a fire(MAT)
# parameterisation - tau_stem already uses MAT, and the q_map(MAT) test failed
# by boosting wood across the whole cold band. Real fire needs fuel load and
# fuel moisture, which is what a prognostic scheme built on these pools would use.
